Name,Age,Color,Dogma 1,Dogma 2,Dogma 3,Main Symbol,Symbol 1,Symbol 2,Symbol 3,Symbol 4,Symbol 5,Symbol 6
AGRICULTURE,1,yellow,"You may return a card from your hand. If you do, draw and score a card of value one higher than the card you returned.",,,leaf,hex,,,leaf,leaf,leaf
ARCHERY,1,red,"I demand you draw a 1, then transfer the highest card in your hand to my hand!",,,castle,castle,,,bulb,hex,castle
CITY STATES,1,purple,"I demand you transfer a top card with a castle from your board to my board if you have at least four castle on your board! If you do, draw a 1!",,,crown,hex,,,crown,crown,castle
CLOTHING,1,green,Meld a card from your hand of different color from any card on your board.,Draw and score a 1 for each color present on your board not present on any other player's board.,,leaf,hex,,,crown,leaf,leaf
CODE OF LAWS,1,purple,"You may tuck a card from your hand of the same color as any card on your board. If you do, you may splay that color of your cards left.",,,crown,hex,,,crown,crown,leaf
DOMESTICATION,1,yellow,Meld the lowest card in your hand. Draw a 1.,,,castle,castle,,,crown,hex,castle
MASONRY,1,yellow,"You may meld any number of cards from your hand, each with a castle. If you melded four or more cards in this way, claim the Monument achievement.",,,castle,castle,,,hex,castle,castle
METALWORKING,1,red,"Draw and reveal a 1. If it has a castle, score it and repeat this dogma effect. Otherwise, keep it.",,,castle,castle,,,castle,hex,castle
MYSTICISM,1,purple,"Draw and reveal a 1. If it is the same color as any card on your board, meld it and draw a 1.",,,castle,hex,,,castle,castle,castle
OARS,1,red,"I demand you transfer a card with a crown from your hand to my score pile! If you do, draw a 1, and repeat this dogma effect!","If no cards were transferred due to this demand, draw a 1.",,castle,castle,,,crown,hex,castle
POTTERY,1,blue,"You may return up to three cards from your hand. If you returned any cards, draw and score a card of value equal to the number of cards you returned.",Draw a 1.,,leaf,hex,,,leaf,leaf,leaf
SAILING,1,green,Draw and meld a 1.,,,crown,crown,,,crown,hex,leaf
THE WHEEL,1,green,Draw two 1.,,,castle,hex,,,castle,castle,castle
TOOLS,1,blue,"You may return three cards from your hand. If you do, draw and meld a 3.","You may return a 3 from your hand. If you do, draw three 1.",,bulb,hex,,,bulb,bulb,castle
WRITING,1,blue,Draw a 2.,,,bulb,hex,,,bulb,bulb,crown
CALENDAR,2,blue,"If you have more cards in your score pile than in your hand, draw two 3.",,,leaf,hex,,,leaf,leaf,bulb
CANAL BUILDING,2,yellow,You may exchange all the highest cards in your hand with all the highest cards in your score pile.,,,crown,hex,,,crown,leaf,crown
CONSTRUCTION,2,red,I demand you transfer two cards from your hand to my hand! Draw a 2!,"If you are the only player with five top cards, claim the Empire achievement.",,castle,castle,,,hex,castle,castle
CURRENCY,2,green,"You may return any number of cards from your hand. If you do, draw and score a 2 for every different value of card you returned.",,,crown,leaf,,,crown,hex,crown
FERMENTING,2,yellow,Draw a 2 for every color on your board with one or more leaf.,,,leaf,leaf,,,leaf,hex,castle
